Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-07-01,206.9988,489.2081,153.2745,284.8741,695.5713,47.3683,152.994,319.4474,220.46,292.4243,106.584,140.9979,386.7345,221.445,27.6723
2025-07-02,211.6005,488.2537,157.2239,286.4337,704.856,47.9192,152.6407,301.2486,219.92,289.613,108.35,143.3322,394.1641,221.8994,27.1261
2025-07-03,212.7061,495.9589,159.3135,291.7563,712.5259,48.1357,153.0823,302.2183,223.41,289.0723,109.472,143.71,393.6002,222.9568,27.174
2025-07-07,209.1204,494.8454,158.2137,287.7841,699.9724,47.8701,152.3562,297.4776,223.47,288.5317,108.4085,142.7704,387.3182,221.983,27.2219
2025-07-08,209.1801,493.7517,159.9734,278.7259,686.5328,46.3846,152.8664,301.3858,219.36,286.7034,111.4136,148.427,390.0684,222.4003,27.1069
2025-07-09,210.3057,500.6019,162.8529,279.1004,685.8239,46.0796,153.3472,296.6941,222.54,288.0304,111.0331,148.2139,397.8739,221.3987,26.9249
2025-07-10,211.5706,498.5837,164.0727,284.0583,698.1903,46.2075,154.7308,293.3638,222.26,293.309,112.1356,149.3278,403.9581,219.5902,26.7294
2025-07-11,210.3256,500.413,164.8926,282.7474,694.0846,45.9714,153.9556,297.8596,225.02,294.8031,112.6235,150.432,401.5739,218.8111,26.1004
2025-07-14,207.7956,500.1148,164.0427,284.561,702.3059,46.3059,153.8771,294.4119,225.69,296.7395,111.1502,146.887,401.4255,220.7865,26.2842
2025-07-15,208.2837,502.8986,170.6716,282.4418,691.6822,45.4008,152.2581,285.7239,226.35,294.518,110.1647,145.9571,400.3076,218.2268,26.1487
2025-07-16,209.3295,502.6998,171.3415,281.7223,697.8949,45.2827,161.6877,286.4879,223.19,293.8103,109.5013,145.2113,408.4594,219.6922,26.081
2025-07-17,209.1901,508.7446,172.9712,285.7438,694.9609,46.2567,159.9215,282.1586,223.88,295.2552,108.9451,146.6254,413.5938,221.0741,26.1197
2025-07-18,210.3455,507.1042,172.3813,287.0941,697.3436,46.5518,160.628,276.8498,226.13,292.0114,105.1497,145.3275,409.2805,219.3768,26.0713
2025-07-21,211.6404,507.1141,171.3515,286.7984,695.1184,46.7092,161.2756,276.3503,229.3,290.7041,105.4229,144.9788,407.1656,218.1526,26.4971
2025-07-22,213.5528,502.3518,167.0022,287.2518,689.6145,46.9945,164.7786,279.2789,227.47,294.0757,105.901,145.3275,414.2352,219.4139,26.5359
2025-07-23,213.3038,502.9483,170.7516,292.5054,706.4608,47.3585,165.9267,286.5075,228.29,293.0436,107.2572,148.3108,424.5615,221.9088,26.8552
2025-07-24,212.9153,507.9294,173.7111,292.2984,708.0952,47.6044,166.378,272.8633,232.23,289.4655,108.0963,150.9357,426.4778,208.1919,27.0197
2025-07-25,213.0348,510.743,173.4712,294.3388,717.7442,47.6635,165.1417,275.2924,231.44,293.3876,107.7158,149.9768,430.6779,207.9693,27.0971
